Hierarchy,Id,Term,ChangeType,DefinitionStatus
Clinical finding (finding),11671000146109,Arteritic anterior ischemic optic neuropathy (disorder),Description change,Sufficiently defined
Clinical finding (finding),11991000146104,Medical illness convalescence after acute coronary syndrome (finding),Description change,Primitive
Clinical finding (finding),11991000146104,follow-up na acuut coronair syndroom (bevinding),Description change,Primitive
Clinical finding (finding),12211000146105,Convalescence after operation on heart valve (finding),Description change,Primitive
Clinical finding (finding),12621000146102,Secondary hypocortisolism after pituitary apoplexy (disorder),Description change,Sufficiently defined
Clinical finding (finding),12651000146106,Secondary hypocortisolism after radiation therapy care (disorder),Description change,Sufficiently defined
Clinical finding (finding),12661000146109,Secondary hypocortisolism due to isolated corticotropin deficiency (disorder),Description change,Sufficiently defined
Clinical finding (finding),12661000146109,secundaire bijnierschorsinsufficiëntie door geïsoleerde ACTH-deficiëntie (aandoening),Description change,Sufficiently defined
Clinical finding (finding),12671000146103,Secondary hypocortisolism after operation on pituary gland (disorder),Description change,Sufficiently defined
Clinical finding (finding),12721000146107,Deficiency of phosphoadenosine-phosphosulfate reductase 2 (disorder),Description change,Primitive
Clinical finding (finding),12841000146107,Viral otitis externa (disorder),Description change,Sufficiently defined
Clinical finding (finding),12841000146107,virale otitis externa (aandoening),Description change,Sufficiently defined
Clinical finding (finding),12881000146100,Acquired anomaly of external auditory canal (disorder),Description change,Sufficiently defined
Clinical finding (finding),13021000146104,Complete loss of cochlear function after procedure (disorder),Description change,Primitive
Clinical finding (finding),13121000146100,Recurrent cholesteatoma of mastoid (disorder),Description change,Sufficiently defined
Clinical finding (finding),13121000146100,recidief cholesteatoom van mastoïd (aandoening),Description change,Sufficiently defined
Clinical finding (finding),13181000146104,Partial cochlear dysfunction after procedure (finding),Description change,Primitive
Clinical finding (finding),13401000146101,Invasive malignant tumor of uterus (disorder),Description change,Primitive
Clinical finding (finding),13501000146102,Abscess of skin of anterior portion of neck (disorder),Description change,Primitive
Clinical finding (finding),13731000146104,Benign lymphadenopathy (disorder),Description change,Primitive
Clinical finding (finding),13871000146106,Adrenal Cushing's syndrome associated with familial isolated pituitary adenoma (disorder),Description change,Sufficiently defined
Clinical finding (finding),13871000146106,syndroom van Cushing bij familiaal geïsoleerd hypofyseadenoom (aandoening),Description change,Sufficiently defined
Clinical finding (finding),13881000146108,Adrenal cortical hypofunction due to bleeding (disorder),Description change,Sufficiently defined
Organism (organism),2591000146102,Absidia caerulea (organisme),Description change,Primitive
Organism (organism),9411000146104,,Description change,Primitive
Physical object (physical object),8581000146101,Nasojejunal tube (physical object),Description change,Primitive
Physical object (physical object),8591000146104,Nasoduodenal tube (physical object),Description change,Primitive
Procedure (procedure),291000146106,Examination of pupillary reflex (procedure),Description change,Primitive
Procedure (procedure),291000146106,pupilreactie-onderzoek (verrichting),Description change,Primitive
Procedure (procedure),301000146105,Fundus autofluorescence photography (procedure),Description change,Primitive
Procedure (procedure),301000146105,fundus autofluorescentie (verrichting),Description change,Primitive
Procedure (procedure),8841000146106,Visual acuity testing for computer glasses (procedure),Description change,Primitive
Record artifact (record artifact),9451000146100,Echography documentation (record artifact),Description change,Primitive
Record artifact (record artifact),9461000146102,Endoscopy documentation (record artifact),Description change,Primitive
Record artifact (record artifact),9481000146105,Function test documentation (record artifact),Description change,Primitive
Record artifact (record artifact),9621000146106,Electrography documentation (record artifact),Description change,Primitive
Record artifact (record artifact),9651000146102,Duplex report (record artifact),Description change,Primitive
Record artifact (record artifact),10301000146102,Hematology procedure report (record artifact),Description change,Primitive
Record artifact (record artifact),10691000146103,Mammography procedure report (record artifact),Description change,Primitive
Record artifact (record artifact),11001000146106,Transplantation screening form (record artifact),Description change,Primitive
Situation with explicit context (situation),9261000146101,Suspected disorder of gastrointestinal tract (situation),Description change,Sufficiently defined
Situation with explicit context (situation),12251000146109,Suspected neoplasm of kidney (situation),Description change,Sufficiently defined
Situation with explicit context (situation),12311000146101,Suspected congenital anomaly (situation),Description change,Sufficiently defined
Situation with explicit context (situation),12331000146108,Suspected disorder of skin (situation),Description change,Sufficiently defined
Social context (social concept),8601000146109,Holder of enduring power of attorney (person),Description change,Primitive
Clinical finding (finding),461000146102,Disorder of nerve root due to metastases (disorder) -Prev.FSN: Acquired disorder of nerve root due to metastases (disorder),FSN change,Sufficiently defined
Clinical finding (finding),461000146102,aandoening van zenuwwortel door metastase (aandoening) -Prev.FSN: Acquired disorder of nerve root due to metastases (disorder),FSN change,Sufficiently defined
Clinical finding (finding),1451000146101,Neuropathy associated with paraproteinaemia due to multiple myeloma (disorder) -Prev.FSN: Neuropathy associated with paraproteinaemia  due to multiple myeloma (disorder),FSN change,Primitive
Clinical finding (finding),1461000146103,Neuropathy associated with IgM paraproteinaemia (disorder) -Prev.FSN: Neuropathy associated with  IgM paraproteinaemia (disorder),FSN change,Primitive
Clinical finding (finding),1551000146102,Neuropathy associated with thrombotic thrombocytopenic purpura (disorder) -Prev.FSN: Neuropathy associated with  thrombotic thrombocytopenic purpura (disorder),FSN change,Primitive
Clinical finding (finding),1861000146101,Hemiparesis of diaphragm (finding) -Prev.FSN: Hemiparesis of diaphragm  (finding),FSN change,Primitive
Clinical finding (finding),2111000146100,Vascular anomaly of anterior portion of neck (disorder) -Prev.FSN: Vascular anomaly of anterior portion of neck  (disorder),FSN change,Primitive
Clinical finding (finding),2241000146108,Exostosis of metatarsal bone (disorder) -Prev.FSN: Exostosis  of metatarsal bone (disorder),FSN change,Primitive
Clinical finding (finding),2271000146103,Palpable mass of breast (finding) -Prev.FSN: Palpable mass of breast  (finding),FSN change,Primitive
Clinical finding (finding),2311000146103,Fetal disorder of urinary system (disorder) -Prev.FSN: Fetal disorder of urinary system  (disorder),FSN change,Primitive
Clinical finding (finding),8731000146108,Gradual onset of visual disturbance (disorder) -Prev.FSN: Gradual onset of visual disturbance  (disorder),FSN change,Primitive
Clinical finding (finding),12621000146102,Secondary hypocortisolism after pituitary apoplexy (disorder) -Prev.FSN: Secondary hypocortisolism after pituary apoplexy (disorder),FSN change,Sufficiently defined
Clinical finding (finding),13181000146104,Partial cochlear dysfunction after procedure (finding) -Prev.FSN: Partial cochlear dysfunction after procedure  (finding),FSN change,Primitive
Clinical finding (finding),13401000146101,Invasive malignant tumor of uterus (disorder) -Prev.FSN: Invasive malignant tumor of uterus (disorder,FSN change,Primitive
Clinical finding (finding),13501000146102,Abscess of skin of anterior portion of neck (disorder) -Prev.FSN: Abscess of skin of neck (disorder),FSN change,Primitive
Clinical finding (finding),13881000146108,Adrenal cortical hypofunction due to bleeding (disorder) -Prev.FSN: Adrenal cortical hypofunctiondue to bleeding (disorder),FSN change,Sufficiently defined
Physical object (physical object),8581000146101,Nasojejunal tube (physical object) -Prev.FSN: Nasojejunal tube  (physical object),FSN change,Primitive
Physical object (physical object),8591000146104,Nasoduodenal tube (physical object) -Prev.FSN: Nasoduodenal tube  (physical object),FSN change,Primitive
Procedure (procedure),301000146105,Fundus autofluorescence photography (procedure) -Prev.FSN: Fundus autofluorescence photography(procedure),FSN change,Primitive
Procedure (procedure),301000146105,fundus autofluorescentie (verrichting) -Prev.FSN: Fundus autofluorescence photography(procedure),FSN change,Primitive
Procedure (procedure),8841000146106,Visual acuity testing for computer glasses (procedure) -Prev.FSN: Visual acuity testing for computer glasses  (procedure),FSN change,Primitive
Record artifact (record artifact),10301000146102,Hematology procedure report (record artifact) -Prev.FSN: Hematology report (record artifact),FSN change,Primitive
Record artifact (record artifact),10691000146103,Mammography procedure report (record artifact) -Prev.FSN: Mammography report (record artifact),FSN change,Primitive
Record artifact (record artifact),11001000146106,Transplantation screening form (record artifact) -Prev.FSN: Transplantation screening  form (record artifact),FSN change,Primitive
Situation with explicit context (situation),9261000146101,Suspected disorder of gastrointestinal tract (situation) -Prev.FSN: Suspected disorder of gastrointestinal tract  (situation),FSN change,Sufficiently defined
Situation with explicit context (situation),12251000146109,Suspected neoplasm of kidney (situation) -Prev.FSN: Suspected neoplasm of kidney (situation),FSN change,Sufficiently defined
Situation with explicit context (situation),12311000146101,Suspected congenital anomaly (situation) -Prev.FSN: Suspected congenital anomaly (situation),FSN change,Sufficiently defined
Situation with explicit context (situation),12331000146108,Suspected disorder of skin (situation) -Prev.FSN: Suspected disorder of skin (situation),FSN change,Sufficiently defined
Social context (social concept),8601000146109,Holder of enduring power of attorney (person) -Prev.FSN: Holder of enduring power of attorney  (person),FSN change,Primitive
